token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
везла,везти,ipf,fin,None,sg,praet,indic,None,None
женившись,жениться,pf,ger,intr,None,praet,None,None,None
соединил,соединять,pf,fin,tran,sg,praet,indic,None,None
попирающий,попирать,ipf,partcp,tran,sg,praes,None,None,act
изображался,изображаться,ipf,fin,intr,sg,praet,indic,None,None
попирающий,попирать,ipf,partcp,tran,sg,praes,None,None,act
усвоившее,усваивать,pf,partcp,tran,sg,praet,None,None,act
порабощенное,порабощать,pf,partcp,tran,sg,praet,None,None,pass
раздерганное,раздергивать,pf,partcp,None,sg,praet,None,None,pass
задвинутое,задвигать,pf,partcp,tran,sg,praet,None,None,pass
развивалось,развиваться,ipf,fin,intr,sg,praet,indic,None,None
крепло,крепнуть,ipf,fin,intr,sg,praet,indic,None,None
утверждало,утверждать,ipf,fin,tran,sg,praet,indic,None,None
совершенствовался,совершенствоваться,ipf,fin,intr,sg,praet,indic,None,None
обогащаясь,обогащаться,ipf,ger,intr,None,praes,None,None,None
объединяется,объединяться,ipf,fin,intr,sg,praes,indic,3,None
утвержден,утверждать,pf,partcp,tran,sg,praet,None,None,pass
находились,находиться,ipf,fin,intr,pl,praet,indic,None,None
изображался,изображаться,ipf,fin,intr,sg,praet,indic,None,None
было,быть,ipf,fin,intr,sg,praet,indic,None,None
помещать,помещать,ipf,inf,tran,None,None,None,None,None
имел,иметь,ipf,fin,tran,sg,praet,indic,None,None
поднятые,подымать,pf,partcp,None,pl,praet,None,None,pass
был,быть,ipf,fin,intr,sg,praet,indic,None,None
увенчан,увенчивать,pf,partcp,tran,sg,praet,None,None,pass
знаменовали,знаменовать,ipf,fin,tran,pl,praet,indic,None,None
окружался,окружаться,ipf,fin,intr,sg,praet,indic,None,None
называемой,называть,ipf,partcp,tran,sg,praes,None,None,pass
остается,оставаться,ipf,fin,intr,sg,praes,indic,3,None
стали,становиться,pf,fin,intr,pl,praet,indic,None,None
называть,называть,ipf,inf,tran,None,None,None,None,None
вписал,вписывать,pf,fin,tran,sg,praet,indic,None,None
произвел,производить,pf,fin,None,sg,praet,indic,None,None
может,мочь,ipf,fin,intr,sg,praes,indic,3,None
быть,быть,ipf,inf,intr,None,None,None,None,None
была,быть,ipf,fin,intr,sg,praet,indic,None,None
придана,придавать,pf,partcp,tran,sg,praet,None,None,pass
имел,иметь,ipf,fin,tran,sg,praet,indic,None,None
распущенные,распускать,pf,partcp,None,pl,praet,None,None,pass
держал,держать,ipf,fin,tran,sg,praet,indic,None,None
перевитые,перевивать,pf,partcp,tran,pl,praet,None,None,pass
исчезла,исчезать,pf,fin,intr,sg,praet,indic,None,None
появился,появляться,pf,fin,intr,sg,praet,indic,None,None
заостренный,заострять,pf,partcp,tran,sg,praet,None,None,pass
вернулся,вернуться,pf,fin,intr,sg,praet,indic,None,None
дополнил,дополнять,pf,fin,tran,sg,praet,indic,None,None
входящих,входить,ipf,partcp,intr,pl,praes,None,None,act
располагались,располагаться,ipf,fin,intr,pl,praet,indic,None,None
распахнутых,распахнуть,pf,partcp,tran,pl,praet,None,None,pass
ознаменовалось,ознаменовываться,pf,fin,intr,sg,praet,indic,None,None
была,быть,ipf,fin,intr,sg,praet,indic,None,None
приводился,приводиться,ipf,fin,intr,sg,praet,indic,None,None
учреждается,учреждаться,ipf,fin,intr,sg,praes,indic,3,None
становится,становиться,ipf,fin,intr,sg,praes,indic,3,None
распространено,распространять,pf,partcp,tran,sg,praet,None,None,pass
способствовала,способствовать,ipf,fin,intr,sg,praet,indic,None,None
пройдя,проходить,pf,ger,intr,None,praet,None,None,None
утратил,утрачивать,pf,fin,tran,sg,praet,indic,None,None
вошел,входить,pf,fin,intr,sg,praet,indic,None,None
сохранившихся,сохраняться,pf,partcp,intr,pl,praet,None,None,act
восстановил,восстанавливать,pf,fin,tran,sg,praet,indic,None,None
гласит,гласить,ipf,fin,tran,sg,praes,indic,3,None
представляет,представлять,ipf,fin,tran,sg,praes,indic,3,None
поражающий,поражать,ipf,partcp,tran,sg,praes,None,None,act
символизируют,символизировать,ipf,fin,tran,pl,praes,indic,3,None
защищенная,защищать,pf,partcp,tran,sg,praet,None,None,pass
указывает,указывать,ipf,fin,tran,sg,praes,indic,3,None
положило,полагать,pf,fin,tran,sg,praet,indic,None,None
явилось,являться,pf,fin,intr,sg,praet,indic,None,None
представляет,представлять,ipf,fin,tran,sg,praes,indic,3,None
окаймлено,окаймлять,pf,partcp,tran,sg,praet,None,None,pass
увенчано,увенчивать,pf,partcp,tran,sg,praet,None,None,pass
вносятся,вноситься,ipf,fin,intr,pl,praes,indic,3,None
устанавливают,устанавливать,ipf,fin,tran,pl,praes,indic,3,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
находится,находиться,ipf,fin,intr,sg,praes,indic,3,None
располагается,располагаться,ipf,fin,intr,sg,praes,indic,3,None
устанавливается,устанавливаться,ipf,fin,intr,sg,praes,indic,3,None
следует,следовать,ipf,fin,None,sg,praes,indic,3,None
устанавливается,устанавливаться,ipf,fin,intr,sg,praes,indic,3,None
используется,использоваться,ipf,fin,intr,sg,praes,indic,3,None
называемый,называть,ipf,partcp,tran,sg,praes,None,None,pass
устанавливается,устанавливаться,ipf,fin,intr,sg,praes,indic,3,None
находится,находиться,ipf,fin,intr,sg,praes,indic,3,None
устанавливается,устанавливаться,ipf,fin,intr,sg,praes,indic,3,None
существует,существовать,ipf,fin,intr,sg,praes,indic,3,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
соединенные,соединять,pf,partcp,tran,pl,praet,None,None,pass
подчеркивают,подчеркивать,ipf,fin,tran,pl,praes,indic,3,None
делают,делать,ipf,fin,tran,pl,praes,indic,3,None
прошла,проходить,pf,fin,intr,sg,praet,indic,None,None
передал,передавать,pf,fin,tran,sg,praet,indic,None,None
начиналась,начинаться,ipf,fin,intr,sg,praet,indic,None,None
принималась,приниматься,ipf,fin,intr,sg,praet,indic,None,None
подписывались,подписываться,ipf,fin,intr,pl,praet,indic,None,None
заняли,занимать,pf,fin,None,pl,praet,indic,None,None
собравшихся,собираться,pf,partcp,intr,pl,praet,None,None,act
подписал,подписывать,pf,fin,tran,sg,praet,indic,None,None
является,являться,ipf,fin,intr,sg,praes,indic,3,None
образуемым,образовывать,ipf,partcp,None,sg,praes,None,None,pass
размещена,размещать,pf,partcp,tran,sg,praet,None,None,pass
построенном,построить,pf,partcp,tran,sg,praet,None,None,pass
имеет,иметь,ipf,fin,tran,sg,praes,indic,3,None
замыкается,замыкаться,ipf,fin,intr,sg,praes,indic,3,None
увенчанной,увенчивать,pf,partcp,tran,sg,praet,None,None,pass
возвышается,возвышаться,ipf,fin,intr,sg,praes,indic,3,None
вписывается,вписываться,ipf,fin,intr,sg,praes,indic,3,None
сказать,сказать,pf,inf,tran,None,None,None,None,None
является,являться,ipf,fin,intr,sg,praes,indic,3,None
строилось,строиться,ipf,fin,intr,sg,praet,indic,None,None
использовалось,использоваться,ipf,fin,intr,sg,praet,indic,None,None
размещался,размещаться,ipf,fin,intr,sg,praet,indic,None,None
проводились,проводиться,ipf,fin,intr,pl,praet,indic,None,None
становится,становиться,ipf,fin,intr,sg,praes,indic,3,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
начинается,начинаться,ipf,fin,intr,sg,praes,indic,3,None
проводится,проводиться,ipf,fin,intr,sg,praes,indic,3,None
перестраивается,перестраиваться,ipf,fin,intr,sg,praes,indic,3,None
были,быть,ipf,fin,intr,pl,praet,indic,None,None
привлечены,привлекать,pf,partcp,None,pl,praet,None,None,pass
длилась,длиться,ipf,fin,intr,sg,praet,indic,None,None
украшавшее,украшать,ipf,partcp,tran,sg,praet,None,None,act
обрело,обретать,pf,fin,None,sg,praet,indic,None,None
появляется,появляться,ipf,fin,intr,sg,praes,indic,3,None
пронзающего,пронзать,ipf,partcp,tran,sg,praes,None,None,act
приобрели,приобретать,pf,fin,None,pl,praet,indic,None,None
стали,становиться,pf,fin,intr,pl,praet,indic,None,None
соответствовать,соответствовать,ipf,inf,intr,None,None,None,None,None
состоялись,состояться,pf,fin,intr,pl,praet,indic,None,None
именуемая,именовать,ipf,partcp,tran,sg,praes,None,None,pass
стала,становиться,pf,fin,intr,sg,praet,indic,None,None
проходят,проходить,ipf,fin,tran,pl,praes,indic,3,None
проводятся,проводиться,ipf,fin,intr,pl,praes,indic,3,None
проходят,проходить,ipf,fin,tran,pl,praes,indic,3,None
руководящих,руководить,ipf,partcp,intr,pl,praes,None,None,act
прибывшие,прибывать,pf,partcp,intr,pl,praet,None,None,act
намеченное,намечать,pf,partcp,tran,sg,praet,None,None,pass
сопровождающие,сопровождать,ipf,partcp,tran,pl,praes,None,None,act
входят,входить,ipf,fin,intr,pl,praes,indic,3,None
встретившись,встречаться,pf,ger,intr,None,praet,None,None,None
обмениваются,обмениваться,ipf,fin,intr,pl,praes,indic,3,None
производится,производиться,ipf,fin,intr,sg,praes,indic,3,None
приглашаются,приглашаться,ipf,fin,intr,pl,praes,indic,3,None
заняли,занимать,pf,fin,None,pl,praet,indic,None,None
производится,производиться,ipf,fin,intr,sg,praes,indic,3,None
покидают,покидать,ipf,fin,tran,pl,praes,indic,3,None
могут,мочь,ipf,fin,intr,pl,praes,indic,3,None
начинаться,начинаться,ipf,inf,intr,None,None,None,None,None
присутствуют,присутствовать,ipf,fin,intr,pl,praes,indic,3,None
записывающие,записывать,ipf,partcp,tran,pl,praes,None,None,act
прощаются,прощаться,ipf,fin,intr,pl,praes,indic,3,None
следуют,следовать,ipf,fin,None,pl,praes,indic,3,None
