token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
принятым,принять,pf,partcp,tran,sg,praet,,,pass
оскорблённая,оскорбить,pf,partcp,tran,sg,praet,,,pass
обрадованный,обрадовать,pf,partcp,tran,sg,praet,,,pass
обречён,обречь,pf,partcp,tran,sg,praet,,,pass
принятой,принять,pf,partcp,tran,sg,praet,,,pass
предпочитаемыми,предпочитать,ipf,partcp,tran,pl,praes,,,pass
выкрещенный,выкрестить,pf,partcp,tran,sg,praet,,,pass
вложенными,вложить,pf,partcp,tran,pl,praet,,,pass
намешано,намешать,pf,partcp,tran,sg,praet,,,pass
показан,показать,pf,partcp,tran,sg,praet,,,pass
основанном,основать,pf,partcp,tran,sg,praet,,,pass
основанный,основать,pf,partcp,tran,sg,praet,,,pass
намекающими,намекать,ipf,partcp,intr,pl,praes,,,act
проверяющих,проверять,ipf,partcp,tran,pl,praes,,,act
признанный,признать,pf,partcp,tran,sg,praet,,,pass
режущие,резать,ipf,partcp,tran,pl,praes,,,act
собраны,собрать,pf,partcp,tran,pl,praet,,,pass
пропитано,пропитать,pf,partcp,tran,sg,praet,,,pass
опубликованы,опубликовать,pf,partcp,tran,pl,praet,,,pass
прищуренные,прищурить,pf,partcp,tran,pl,praet,,,pass
унавоженном,унавозить,pf,partcp,,sg,praet,,,pass
рассматриваемой,рассматривать,ipf,partcp,tran,sg,praes,,,pass
встречающаяся,встречаться,ipf,partcp,intr,sg,praes,,,med
находившегося,находиться,ipf,partcp,intr,sg,praet,,,med
осмысленной,осмыслить,pf,partcp,,sg,praet,,,pass
побит,побить,pf,partcp,tran,sg,praet,,,pass
предлагаемое,предлагать,ipf,partcp,tran,sg,praes,,,pass
отражён,отразить,pf,partcp,tran,sg,praet,,,pass
погашены,погасить,pf,partcp,tran,pl,praet,,,pass
меняющиеся,меняться,ipf,partcp,intr,pl,praes,,,med
раздавленный,раздавить,pf,partcp,tran,sg,praet,,,pass
соединённых,соединить,pf,partcp,tran,pl,praet,,,pass
изменивших,изменить,pf,partcp,intr,pl,praet,,,act
собранная,собрать,pf,partcp,tran,sg,praet,,,pass
добавляющие,добавлять,ipf,partcp,tran,pl,praes,,,act
выкроенных,выкроить,pf,partcp,tran,pl,praet,,,pass
приведённого,привести,pf,partcp,tran,sg,praet,,,pass
введена,ввести,pf,partcp,tran,sg,praet,,,pass
оканчивающемуся,оканчиваться,ipf,partcp,intr,sg,praes,,,med
вышитая,вышить,pf,partcp,tran,sg,praet,,,pass
отнесённые,отнести,pf,partcp,tran,pl,praet,,,pass
стоптанных,стоптать,pf,partcp,tran,pl,praet,,,pass
расстрелявшего,расстрелять,pf,partcp,tran,sg,praet,,,act
родившиеся,родиться,ipf,partcp,intr,pl,praet,,,med
приведённым,привести,pf,partcp,tran,sg,praet,,,pass
разрешённый,разрешить,pf,partcp,tran,sg,praet,,,pass
привыкшим,привыкнуть,pf,partcp,intr,pl,praet,,,act
называемые,называть,ipf,partcp,tran,pl,praes,,,pass
окружающие,окружать,ipf,partcp,tran,pl,praes,,,act
задержанные,задержать,pf,partcp,,pl,praet,,,pass
