verb,factor1,factor2,group
успокоиться pf,79.055508237731,-25.6803842455077,1
попасться pf,78.0803945077893,-25.4408462900362,1
подхватить pf,92.5953073890894,-25.4204723618898,1
выразить pf,38.0802621455287,-25.3769896522644,1
выставить pf,20.7833867085804,-25.2770767345642,1
обидеться pf,89.3544637874941,-25.2321217369191,1
убедиться pf,82.7481050212062,-25.1369735559107,1
пробормотать pf,123.00021891278,-25.006786411264,1
поцеловать pf,90.5476710233774,-24.9758771535393,1
разойтись pf,96.5088500536226,-24.6815963640265,1
последовать pf,66.090487667748,-24.5991396426111,1
прикрыть pf,36.3350215464206,-24.5041821140691,1
развернуть pf,36.2573787688449,-24.4331414351784,1
сломать pf,34.6054996355105,-24.3700914538618,1
признаться pf,80.7989604218032,-24.3266228106123,1
упомянуть pf,-0.90365165951139,-24.2458062696856,1
изучить pf,12.3952690806095,-24.1502483719767,1
опуститься pf,97.8177442672425,-23.9810022831889,1
замереть pf,102.470461181835,-23.9714275672778,1
наклониться pf,104.190757037433,-23.9684954152633,1
распахнуть pf,17.9089330243479,-23.9054759584488,1
послушать pf,4.88064560639342,-23.898242112332,1
потрясти pf,42.1880757395757,-23.8357668678393,1
изобразить pf,6.48133915087453,-23.8344543863794,1
подобрать pf,21.0057879370036,-23.5932672223672,1
вступить pf,84.3401893489238,-23.4541708054903,1
отозваться pf,99.3860190673963,-23.4499650278368,1
выгнать pf,51.6564932944385,-23.3564748953983,1
обмануть pf,34.2389931053226,-23.2980997273987,1
заняться pf,44.3067279736917,-23.1856190667428,1
полететь pf,61.8055696152573,-23.1386978429895,1
увеличиться pf,47.7133653031291,-23.08836075491,1
избрать pf,6.94437099733916,-23.0311242777788,1
покинуть pf,57.9496204610454,-23.0089230932515,1
осудить pf,5.54497759914994,-22.9948717195011,1
утратить pf,7.16962630965338,-22.8158105821856,1
накрыть pf,18.611421744532,-22.7886074101965,1
набить pf,-9.60819794980326,-22.7332528200258,1
замкнуть pf,-28.1703490613262,-22.6892393315294,1
убедить pf,5.43491678691954,-22.6879265226937,1
отобрать pf,50.2814040702889,-22.6353637578851,1
разобрать pf,16.9200812894693,-22.5618370265287,1
запомниться pf,98.8345429228405,-22.4955499927373,1
задумать pf,31.767013736019,-22.4913372465362,1
доставить pf,18.3370738918191,-22.4735425005019,1
присесть pf,88.0287996438151,-22.4520710055386,1
запеть pf,75.3005860424234,-22.2961826715953,1
сбежать pf,72.9811017842919,-22.2712146683517,1
перебить pf,73.615182548677,-22.247867014394,1
нарисовать pf,-2.81294689577102,-22.2472884366654,1
понести pf,67.5825312994795,-22.197552300166,1
пропустить pf,33.5363401490398,-22.1877451493797,1
посоветовать pf,77.0607083573595,-22.0725427887973,1
увезти pf,61.5840550244692,-21.9974432667348,1
сообразить pf,74.166487025058,-21.9908357995423,1
вылезти pf,77.5825031598971,-21.9755034431646,1
проиграть pf,39.8208613408769,-21.90554815023,1
возразить pf,92.9873747148708,-21.8909370628382,1
пояснить pf,81.5187745652684,-21.7585819642562,1
подвести pf,51.0088601641676,-21.757739640482,1
спеть pf,47.5151314709573,-21.7066923016567,1
исполнить pf,24.8193395634114,-21.6032687560587,1
поручить pf,26.6236738159789,-21.5377699547797,1
заплатить pf,19.8811813900382,-21.5135879327487,1
прозвучать pf,66.7042638422494,-21.4908333472949,1
нарушить pf,20.5556293318252,-21.4529087578982,1
украсить pf,-10.4524871766684,-21.4233738491169,1
заинтересовать pf,-9.4746563429406,-21.4217443505929,1
продолжить pf,37.2938013854833,-21.3953722083182,1
поместить pf,29.2306247469816,-21.3060007174874,1
поинтересоваться pf,89.1922409551015,-21.2234090681699,1
призвать pf,0.369772684809646,-21.1230586022745,1
обидеть pf,19.4740124887995,-21.1105985651375,1
потянуться pf,79.925028038331,-21.0970757842566,1
растеряться pf,92.7683763028601,-21.089973251747,1
привлечь pf,40.0048019808399,-21.0772912793526,1
ошибиться pf,80.6973781540779,-21.0279579147126,1
свернуть pf,68.530301103366,-20.9942599298025,1
скрыть pf,-0.475776226223428,-20.9832905871256,1
уничтожить pf,10.4479218525095,-20.8843485811612,1
сбить pf,22.6681588083569,-20.8414478365021,1
изложить pf,3.87742673928468,-20.7959782778133,1
проявить pf,49.501748345111,-20.7484238229381,1
возбудить pf,-10.766269000225,-20.7311617349091,1
наполнить pf,-14.133926779756,-20.7060555450535,1
закурить pf,71.6881694569229,-20.5349509534215,1
объединить pf,-14.1310300478756,-20.4499136649382,1
оторвать pf,21.9429869148675,-20.447943082482,1
справиться pf,15.2450486113642,-20.3872272087974,1
пожалеть pf,44.1900549062582,-20.3589575908156,1
испытать pf,58.7347619808605,-20.2866994428111,1
вздрогнуть pf,82.4995281182345,-20.2757224427423,1
переехать pf,66.7090544498851,-20.2397307191621,1
приготовить pf,8.29520731079335,-20.2365605487264,1
защитить pf,6.47300443538884,-20.1754475809094,1
обещать pf,44.8232094761279,-20.0778110786653,1
убежать pf,62.2135416102608,-19.9885220305544,1
отнять pf,33.6912664529157,-19.9839398203283,1
отнести pf,24.6418228009335,-19.9695075918009,1
заказать pf,39.0028067594563,-19.9659908262997,1
успокоить pf,53.1713488788347,-19.9219008720084,1
прилететь pf,58.8090080681806,-19.8814614031215,1
убрать pf,27.432034199883,-19.8523219754512,1
прижать pf,46.8071961876316,-19.8414849802462,1
послышаться pf,89.0106043176934,-19.8146623730136,1
потянуть pf,60.2583165916863,-19.7716190882927,1
предупредить pf,65.3261493173372,-19.7674905396644,1
просидеть pf,73.0105034013518,-19.751442069215,1
издать pf,11.196265227376,-19.67633596467,1
заменить pf,24.4659884684297,-19.6280411502828,1
привязать pf,-9.20514734752999,-19.6151957438677,1
проводить pf,37.3363361596053,-19.6145285390385,1
исполниться pf,63.3758126422081,-19.5939050799292,1
деться pf,14.7866362884339,-19.5906015614948,1
приложить pf,26.865912960192,-19.5865120619805,1
отказать pf,16.0912389511211,-19.4692958491042,1
помешать pf,32.5444847835636,-19.3307354278776,1
нанести pf,9.29217822224476,-19.2513701706145,1
застать pf,65.1785795817298,-19.0396898944861,1
коснуться pf,59.3642128485229,-18.9125211222045,1
скрыться pf,80.9604528005504,-18.8746182731707,1
перенести pf,32.5113210383171,-18.8633560226668,1
завернуть pf,10.4925878397612,-18.8475430842502,1
вспыхнуть pf,55.8399839875724,-18.7608323626331,1
изготовить pf,-18.7448977781049,-18.6898220522556,1
предположить pf,13.4474028471137,-18.6812412228541,1
выпасть pf,45.6415213743062,-18.6797952695756,1
извинить pf,-52.7274353810083,-18.6335578655657,1
выдумать pf,26.0776819271809,-18.5635579799606,1
счесть pf,36.9586855081953,-18.5408452156171,1
оформить pf,-8.90582420900704,-18.536136667111,1
вложить pf,18.2980515933689,-18.4099227840609,1
поморщиться pf,74.395860685203,-18.3875722026173,1
поправить pf,64.9241785913141,-18.3814191998206,1
сойтись pf,58.4171321448296,-18.3156688096417,1
выдвинуть pf,39.0903612423752,-18.2938174851395,1
выбросить pf,27.9274521434489,-18.2246477714445,1
залить pf,-4.10150095797293,-18.0677086176944,1
свалиться pf,55.1752362354585,-18.0244510888954,1
прошептать pf,74.1928993190484,-17.9720316676962,1
вылететь pf,53.4406598096161,-17.9333475268681,1
направиться pf,77.1148274227861,-17.8937634064752,1
обозначить pf,-3.70529940168387,-17.859037100739,1
превратить pf,15.5422736918454,-17.8406533592852,1
рассердиться pf,69.5043083876773,-17.7673048992907,1
доложить pf,45.7163486489735,-17.7662185326923,1
сгореть pf,42.9208946384106,-17.7592637191374,1
выяснить pf,37.0964741230696,-17.7431329803289,1
сбросить pf,35.0403193044167,-17.7336491481716,1
довести pf,25.9891962577398,-17.7330145275948,1
постучать pf,77.0266833844908,-17.7104813140773,1
уставиться pf,66.4126755241394,-17.6821732012592,1
прописать pf,-13.6459384949778,-17.6256450265431,1
отрезать pf,49.6502462994939,-17.6143975869063,1
сжать pf,40.0667294361631,-17.5636510806456,1
натянуть pf,1.88832107771951,-17.5616946055931,1
разбудить pf,37.6813832482687,-17.5522374959844,1
выглядеть pf,-20.3023406145557,-17.5436779027126,1
отдохнуть pf,-1.71511183401849,-17.4863449163115,1
прибавить pf,49.7353275112708,-17.3459213337885,1
учесть pf,4.58505066399969,-17.3347620792893,1
выявить pf,-5.48625935772991,-17.3309021203524,1
разделить pf,-1.55043826270296,-17.3302232773583,1
пригодиться pf,-0.136465350853804,-17.3290618317646,1
переспросить pf,72.4348148377345,-17.1930506486966,1
влюбиться pf,68.5695363741825,-17.1373374655782,1
сформулировать pf,-3.34921360627893,-17.1273645957687,1
воспринять pf,19.1349845540887,-17.116440543675,1
занести pf,19.8538257855991,-17.1041803291609,1
вытянуть pf,14.9665695305617,-17.0813645865195,1
зарегистрировать pf,-16.051853117926,-17.0562644597773,1
сорваться pf,51.3585551748751,-17.0480877465379,1
перечислить pf,-14.4091118484565,-16.9776171624933,1
приподнять pf,34.9906555771224,-16.9686274904851,1
оказать pf,29.5281701610874,-16.9656007758748,1
поселиться pf,62.3265192307932,-16.9566861984076,1
одобрить pf,18.7245551308248,-16.8214339463693,1
обойти pf,46.5534847587441,-16.8049353788977,1
выехать pf,52.5974450662482,-16.7755323915275,1
сорвать pf,31.7586188458786,-16.7434440955185,1
пообещать pf,58.9095648324215,-16.6957316423751,1
подсказать pf,30.9023494140552,-16.6891180297289,1
испортить pf,-0.207207033406961,-16.674748487754,1
упустить pf,5.42265184487421,-16.6491345976673,1
похоронить pf,9.62225880773501,-16.6010529087149,1
