"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"действовать ipf",-0.229134273949276,0.0902665345148233,-0.0562348627406674,-0.0453562574950296,-0.0499774189552522,-0.148447659064023,-0.028666973886548,-0.0177767476765417,-9.79468242623405e-16
"делать ipf",-0.240286524016113,0.0417892795306987,-0.200858572209849,0.0685438137351636,0.0131916170636756,0.00769198957030665,-0.0069010586109927,-0.0075118041588019,2.18141477104083e-16
"делаться ipf",-0.212032334606666,0.321932993839982,0.176864355497436,0.064162637108437,0.0437214486166951,0.0284776959070614,-0.00295920602691031,-0.00495887876811368,8.62808088863964e-16
"делить ipf",-0.230736757918458,0.116336598338963,-0.0660876671913113,0.0475561809948694,-0.0151044890489079,0.0218080318065461,0.0116776555287733,-0.00845732657951877,-5.20417042793042e-17
"делиться ipf",-0.0880745694267901,0.0998972042647839,-0.0720348854585943,0.0633194926064976,0.0185139036781868,0.0119345195985557,-0.0086573689626792,-0.00205107182705402,4.11779985109995e-16
"демонстрировать ipf",-0.214843993105897,0.187233907435663,0.0672751682795791,-0.0522391994873997,-0.0782104519094977,0.0281394492549145,4.62774398412181e-05,0.00667170793577148,-6.34908792207511e-16
"деться pf",-0.154757722739697,0.152085338878108,-0.038868798646236,0.0924655447906471,0.0302805298313744,0.00734589063706759,-0.00693881272069667,-0.00376069082529164,6.68519059554562e-16
"длиться ipf",0.1895262939449,0.158946337957123,0.108636809199219,0.0455523464342005,0.0278719957276197,0.00028471705777144,-0.00979553933343502,0.00592395997613128,5.2280228757251e-16
"добавить pf",0.211858690377014,-0.0798129174312768,-0.0840812433003924,0.00666687877788765,0.0170736974598894,-0.00584919093146412,-0.0123023647180032,0.00670900097286696,7.35089072945172e-17
"добавлять ipf",-0.257870482216605,0.200944171512024,0.0290512485149901,0.0216663021041395,-0.0229599788343828,0.0361404998242608,0.000982875368432499,0.00681573506273338,2.73218947466347e-17
"добиваться ipf",-0.188110351359153,0.058882981966088,-0.137249216207033,0.0136973078132176,-0.0271735899901833,0.0487511085834483,-0.00919699146847808,-0.00564366034937178,3.70797142990043e-17
"добиться pf",-0.0472635789772981,-0.0647963198486173,-0.284972433595854,0.0902553585862624,-0.0115139686477659,-0.000201553697794197,-0.0126476136133222,-0.00167428661829072,2.38307637512314e-16
