lemma,form,frequency
будить,ipf,inf_act,20
будить,ipf,fin_praes_indic_act,10
будить,ipf,fin_imper_act,8
будить,ipf,fin_fut_act,3
будить,ipf,ger_praes_act,2
будить,ipf,partcp_praet_act,1
будоражить,ipf,fin_praet_indic_act,11
будоражить,ipf,fin_praes_indic_act,5
будоражить,ipf,partcp_praes_act,2
будоражить,ipf,partcp_praet_act,1
бунтовать,ipf,fin_praet_indic_act,7
бунтовать,ipf,inf_act,5
бунтовать,ipf,partcp_praes_act,4
бунтовать,ipf,partcp_praet_act,2
бунтовать,ipf,fin_praes_indic_act,2
буравить,ipf,fin_praet_indic_act,3
буравить,ipf,ger_praes_act,1
бурить,ipf,inf_act,1
бурить,ipf,fin_praet_indic_act,1
бурчать,ipf,fin_praet_indic_act,6
бурчать,ipf,fin_praes_indic_act,6
бухнуть,pf,fin_praet_indic_act,8
бухнуть,pf,fin_fut_act,1
ваксить,ipf,inf_act,1
валить,ipf,fin_praet_indic_act,24
валить,ipf,fin_praes_indic_act,19
валить,ipf,inf_act,13
валить,ipf,fin_imper_act,6
валить,ipf,partcp_praet_act,1
валить,ipf,fin_fut_act,1
валиться,ipf,fin_praet_indic_med,17
валиться,ipf,fin_praes_indic_med,14
валиться,ipf,inf_med,7
валиться,ipf,ger_praes_med,2
валиться,ipf,fin_imper_med,1
валиться,ipf,partcp_praet_med,1
валять,ipf,fin_imper_act,32
валять,ipf,inf_act,9
валять,ipf,fin_praes_indic_act,4
валять,ipf,fin_praet_indic_act,3
валять,ipf,fin_fut_act,1
валять,ipf,ger_praes_act,1
варить,ipf,fin_praet_indic_act,51
варить,ipf,inf_act,48
варить,ipf,fin_praes_indic_act,35
варить,ipf,fin_imper_act,7
варить,ipf,ger_praet_act,2
варить,ipf,partcp_praet_pass,1
варить,ipf,partcp_praet_act,1
варить,ipf,fin_fut_act,1
варить,ipf,partcp_praes_act,1
вариться,ipf,fin_praes_indic_med,6
вариться,ipf,fin_praet_indic_med,6
вариться,ipf,inf_med,2
вбегать,ipf,fin_praes_indic_act,7
вбегать,ipf,ger_praes_act,1
вбежать,pf,fin_praet_indic_act,43
вбежать,pf,partcp_praet_act,2
вбежать,pf,ger_praet_act,1
вбежать,pf,fin_fut_indic_act,1
вбивать,ipf,inf_act,4
вбивать,ipf,fin_praet_indic_act,3
вбивать,ipf,fin_praes_indic_act,2
вбирать,ipf,ger_praes_act,6
вбирать,ipf,fin_praes_indic_act,5
вбирать,ipf,fin_praet_indic_act,4
вбирать,ipf,partcp_praet_act,1
вбирать,ipf,partcp_praes_act,1
вбить,pf,fin_praet_indic_act,11
вбить,pf,partcp_praet_pass,10
вбить,pf,inf_act,3
вбить,pf,fin_fut_pass,3
вбить,pf,fin_fut_indic_act,2
вбить,pf,partcp_praet_act,1
вбросить,pf,fin_praet_indic_act,5
вбросить,pf,inf_act,1
вбросить,pf,ger_praet_act,1
вбросить,pf,fin_fut_pass,1
вбухать,pf,inf_act,1
вбухать,pf,fin_praet_indic_act,1
вбухать,pf,fin_fut_indic_act,1
вбухивать,ipf,fin_praet_indic_act,1
вваливать,ipf,ger_praes_act,1
вваливаться,ipf,fin_praet_indic_med,3
вваливаться,ipf,fin_praes_indic_med,2
ввалить,pf,partcp_praet_pass,1
ввалить,pf,fin_praet_indic_act,1
ввалиться,pf,fin_praet_indic_med,16
ввалиться,pf,partcp_praet_med,4
ввалиться,pf,fin_fut_indic_med,1
ввалиться,pf,ger_praet_med,1
ввезти,pf,fin_praet_indic_act,6
ввезти,pf,partcp_praet_pass,4
ввезти,pf,fin_fut_pass,1
ввергать,ipf,fin_praet_indic_act,3
ввергать,ipf,fin_praes_indic_act,3
ввергнуть,pf,fin_praet_indic_act,4
ввергнуть,pf,partcp_praet_pass,2
ввергнуть,pf,inf_act,1
ввергнуть,pf,fin_fut_indic_act,1
ввергнуться,pf,fin_praet_indic_med,1
вверить,pf,partcp_praet_pass,21
вверить,pf,fin_praet_indic_act,3
вверить,pf,ger_praet_act,1
вверить,pf,inf_act,1
ввериться,pf,ger_praet_med,1
ввернуть,pf,fin_fut_indic_act,5
ввернуть,pf,inf_act,2
ввернуть,pf,fin_praet_indic_act,1
ввести,pf,inf_act,90
ввести,pf,fin_praet_indic_act,79
ввести,pf,partcp_praet_pass,64
ввести,pf,fin_fut_pass,21
ввести,pf,fin_fut_indic_act,8
ввести,pf,fin_imper_act,6
ввести,pf,ger_praet_act,6
ввинтить,pf,fin_praet_indic_act,2
ввинтить,pf,inf_act,1
ввинтить,pf,fin_fut_pass,1
ввинтить,pf,fin_fut_indic_act,1
ввинтиться,pf,fin_praet_indic_med,1
ввинчиваться,ipf,fin_praes_indic_med,2
вводить,ipf,fin_praes_indic_act,48
вводить,ipf,inf_act,28
вводить,ipf,fin_praet_indic_act,18
вводить,ipf,ger_praes_act,6
вводить,ipf,partcp_praes_pass,5
вводить,ipf,partcp_praet_act,1
вводить,ipf,partcp_praes_act,1
вводить,ipf,fin_fut_act,1
ввозить,ipf,inf_act,5
ввозить,ipf,partcp_praes_pass,5
ввозить,ipf,fin_praet_indic_act,1
ввозить,ipf,fin_praes_indic_act,1
ввозить,ipf,fin_fut_act,1
вволакивать,ipf,fin_praes_indic_act,1
ввязаться,pf,fin_praet_indic_med,7
ввязаться,pf,inf_med,6
ввязаться,pf,fin_fut_indic_med,2
ввязываться,ipf,fin_praes_indic_med,2
ввязываться,ipf,inf_med,2
ввязываться,ipf,fin_praet_indic_med,1
ввязываться,ipf,fin_fut_med,1
ввязываться,ipf,fin_imper_med,1
вглядеться,pf,inf_med,10
вглядеться,pf,fin_praet_indic_med,8
вглядеться,pf,ger_praet_med,3
вглядеться,pf,fin_imper_med,1
вглядываться,ipf,fin_praet_indic_med,36
вглядываться,ipf,ger_praes_med,33
вглядываться,ipf,fin_praes_indic_med,8
вглядываться,ipf,inf_med,7
вглядываться,ipf,partcp_praes_med,2
вглядываться,ipf,partcp_praet_med,1
вгонять,ipf,fin_praet_indic_act,4
вгонять,ipf,fin_praes_indic_act,3
вгрызаться,ipf,fin_praet_indic_med,4
вгрызаться,ipf,fin_praes_indic_med,2
вгрызаться,ipf,ger_praes_med,1
вдаваться,ipf,ger_praes_med,9
вдаваться,ipf,inf_med,6
вдаваться,ipf,fin_praes_indic_med,3
вдаваться,ipf,fin_fut_med,2
вдаваться,ipf,fin_praet_indic_med,2
вдавить,pf,partcp_praet_pass,4
вдавить,pf,fin_praet_indic_act,2
вдавить,pf,inf_act,1
вдавить,pf,partcp_praet_act,1
вдавиться,pf,fin_praet_indic_med,1
вдавливать,ipf,fin_praes_indic_act,2
вдавливать,ipf,ger_praes_act,1
вдавливать,ipf,partcp_praes_act,1
вдавливаться,ipf,fin_praet_indic_med,3
вдавливаться,ipf,fin_praes_indic_med,2
вдалбливать,ipf,fin_praet_indic_act,1
вдалбливать,ipf,fin_praes_indic_act,1
вдалбливать,ipf,ger_praes_act,1
вдвигать,ipf,fin_praes_indic_act,1
вдвинуть,pf,inf_act,4
вдвинуться,pf,fin_praet_indic_med,1
вдевать,ipf,fin_praet_indic_act,1
вделать,pf,partcp_praet_pass,7
вделать,pf,fin_fut_pass,1
вдеть,pf,fin_praet_indic_act,2
вдеть,pf,partcp_praet_pass,1
вдолбить,pf,inf_act,1
вдохновить,pf,fin_praet_indic_act,11
вдохновить,pf,partcp_praet_pass,7
вдохновить,pf,inf_act,2
вдохновить,pf,partcp_praet_act,2
вдохновить,pf,fin_fut_pass,1
вдохновиться,pf,fin_praet_indic_med,3
вдохновлять,ipf,fin_praet_indic_act,12
вдохновлять,ipf,fin_praes_indic_act,7
вдохновлять,ipf,partcp_praes_act,4
вдохновлять,ipf,partcp_praet_act,1
вдохновляться,ipf,fin_praet_indic_med,4
вдохновляться,ipf,ger_praes_med,2
вдохновляться,ipf,inf_med,2
вдохнуть,pf,fin_praet_indic_act,13
вдохнуть,pf,inf_act,6
вдохнуть,pf,fin_fut_indic_act,3
вдохнуть,pf,ger_praet_act,1
вдувать,ipf,fin_imper_act,3
вдувать,ipf,ger_praes_act,1
вдуматься,pf,inf_med,22
вдуматься,pf,fin_imper_med,6
вдуматься,pf,fin_fut_indic_med,1
вдуматься,pf,fin_praet_indic_med,1
вдумываться,ipf,ger_praes_med,5
вдумываться,ipf,fin_praes_indic_med,2
вдумываться,ipf,fin_praet_indic_med,2
вдумываться,ipf,inf_med,2
вдуть,pf,inf_act,2
вдуть,pf,partcp_praet_pass,1
вдыхать,ipf,fin_praet_indic_act,17
вдыхать,ipf,inf_act,9
вдыхать,ipf,fin_praes_indic_act,9
вдыхать,ipf,ger_praes_act,9
везти,ipf,fin_praes_indic_act,119
везти,ipf,fin_praet_indic_act,90
везти,ipf,inf_act,23
везти,ipf,fin_imper_act,5
везти,ipf,partcp_praes_act,3
везти,ipf,fin_fut_act,1
везти,ipf,partcp_praet_pass,1
великодушничать,ipf,inf_act,1
вентилировать,ipf,partcp_praes_pass,2
вентилировать,ipf,partcp_praet_pass,1
вентилировать,ipf,fin_praes_indic_act,1
венчать,ipf,fin_praes_indic_act,5
венчать,ipf,partcp_praes_act,3
венчать,ipf,inf_act,1
венчать,ipf,partcp_praet_act,1
венчать,pf,partcp_praet_pass,2
венчаться,ipf,fin_praet_indic_med,2
венчаться,ipf,inf_med,1
венчаться,ipf,fin_praes_indic_med,1
венчаться,pf,fin_praet_indic_med,2
венчаться,pf,partcp_praet_med,1
вербовать,ipf,fin_praet_indic_act,4
вербовать,ipf,fin_praes_indic_act,4
вербовать,ipf,inf_act,2
вербовать,ipf,ger_praes_act,1
верещать,ipf,fin_praet_indic_act,7
верещать,ipf,ger_praes_act,3
верещать,ipf,fin_praes_indic_act,1
верить,ipf,fin_praes_indic_act,465
верить,ipf,fin_praet_indic_act,292
верить,ipf,inf_act,196
верить,ipf,fin_imper_act,36
верить,ipf,ger_praes_act,27
верить,ipf,partcp_praet_act,5
верить,ipf,fin_fut_act,4
верить,ipf,partcp_praes_act,4
верить,ipf,fin_fut_indic_act,1
вериться,ipf,fin_praes_indic_med,29
вериться,ipf,fin_praet_indic_med,22
верстать,ipf,inf_act,2
верстать,ipf,ger_praes_act,1
вертеть,ipf,fin_praet_indic_act,34
вертеть,ipf,fin_praes_indic_act,18
вертеть,ipf,inf_act,11
вертеть,ipf,ger_praes_act,7
вертеть,ipf,fin_imper_act,4
вертеть,ipf,fin_fut_act,2
вершить,ipf,fin_praes_indic_act,5
вершить,ipf,inf_act,4
вершить,ipf,fin_praet_indic_act,2
вершить,ipf,partcp_praet_act,1
вершить,ipf,partcp_praet_pass,1
вершить,ipf,ger_praes_act,1
веселеть,ipf,fin_imper_act,1
веселеть,ipf,fin_praet_indic_act,1
веселить,ipf,fin_praet_indic_act,8
веселить,ipf,partcp_praes_act,4
веселить,ipf,fin_praes_indic_act,3
веселить,ipf,partcp_praet_act,1
веселить,ipf,inf_act,1
веселить,ipf,fin_fut_act,1
веселиться,ipf,fin_praet_indic_med,25
веселиться,ipf,inf_med,13
веселиться,ipf,fin_praes_indic_med,13
веселиться,ipf,ger_praes_med,5
веселиться,ipf,partcp_praes_med,3
веселиться,ipf,fin_fut_med,3
веселиться,ipf,fin_imper_med,1
вести,None,partcp_praes_act,1
вести,ipf,fin_praet_indic_act,478
вести,ipf,fin_praes_indic_act,386
вести,ipf,inf_act,246
вести,ipf,partcp_praes_act,82
