lemma,aspect,praes,fut,praet,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
вживить,pf,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,7.279172649236688e-06
вживлять,ipf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вжиматься,ipf,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,9.09896581154586e-06
вжиться,pf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
взбадривать,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-06
взбаламутить,pf,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,5.459379486927516e-06
взбалтывать,ipf,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
взбегать,ipf,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.2738552136164203e-05
взбежать,pf,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-05
взбесить,pf,0.0,0.14285714285714285,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5477104272328405e-05
взбеситься,pf,0.0,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,2.001772478540089e-05
взбивать,ipf,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.2738552136164203e-05
взбираться,ipf,0.1935483870967742,0.0,0.3870967741935484,0.3225806451612903,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,5.641358803158433e-05
взбить,pf,0.0,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.0,0.0,0.6,0.0,6.369276068082101e-05
взбодрить,pf,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.25,0.0,1.4558345298473376e-05
взбодриться,pf,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,7.279172649236688e-06
взболтать,pf,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,5.459379486927516e-06
взболтнуть,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
взбрести,pf,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.279172649236688e-06
взбросить,pf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.819793162309172e-06
взбрызгивать,ipf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
