verb,factor1,factor2,group
кипятиться ipf,-16.8118754584096,0.84154338301234,1
доносить ipf,3.60603621272759,0.84229079234371,1
провозглашать ipf,-5.03556135392647,0.844167655063712,1
растягивать ipf,-15.3011826135516,0.846365113544236,1
растягиваться ipf,-11.3384682264122,0.848434655877146,1
доигрывать ipf,-16.7740621492114,0.855299743611544,1
разить ipf,-18.1179401099624,0.861398157227075,1
кривиться ipf,-12.6168358888769,0.872071268604767,1
согревать ipf,-15.1784745918288,0.872879495878984,1
пересказывать ipf,-11.982134835457,0.879579462270659,1
лениться ipf,-7.83788112661324,0.881842218911269,1
придираться ipf,-11.2439349534167,0.882825557375158,1
коптить ipf,-16.6871989475734,0.888644290537888,1
обещаться ipf,-16.6871989475734,0.888644290537888,1
обступать ipf,-16.6871989475734,0.888644290537888,1
уточняться ipf,-16.6682922929743,0.89552247083749,1
оттаскивать ipf,-16.6493856383752,0.902400651137094,1
смещаться ipf,-13.930114209948,0.905343344686567,1
трескаться ipf,-16.6304789837761,0.909278831436695,1
потеть ipf,-7.081406212949,0.913059496149327,1
брить ipf,-16.4981319702249,0.914898409085462,1
предрекать ipf,-13.4581966860393,0.936681855908089,1
отгибать ipf,-17.7862989182917,0.937518912015402,1
простираться ipf,-5.68072963087232,0.948939850156533,1
исчерпывать ipf,-19.1824004687288,0.953064165197311,1
противопоставлять ipf,-12.3976261050453,0.953563077628328,1
подкупать ipf,-12.3824125398411,0.972726800501239,1
затевать ipf,-10.113664807592,0.973041225865875,1
зашкаливать ipf,-17.7780307972571,0.976658976631209,1
внедрять ipf,-17.6728589906971,0.978787993813016,1
извращать ipf,-17.7516593063398,0.980310298508124,1
встряхиваться ipf,-17.7516593063398,0.980310298508124,1
пропитывать ipf,-17.7516593063398,0.980310298508124,1
усыхать ipf,-17.759124142658,0.98353715693081,1
воспроизводиться ipf,-17.7327526517407,0.987188478807725,1
хулиганить ipf,-17.7002418226757,0.987482425625984,1
засорять ipf,-17.7002418226757,0.987482425625984,1
кукарекать ipf,-17.6813351680766,0.994360605925586,1
вздрагивать ipf,40.6991225666115,1.00119947697841,1
вянуть ipf,-19.0388173032935,1.00704325302246,1
загребать ipf,-18.9597028305414,1.01799721865321,1
мстить ipf,-6.10960579474092,1.02065291383302,1
почитать ipf,-10.5886974350937,1.02066361905353,1
вбирать ipf,-15.9938658214903,1.03312987918203,1
утомляться ipf,-17.6080761409045,1.03428938633327,1
страховаться ipf,-17.6080761409045,1.03428938633327,1
разбухать ipf,-17.6080761409045,1.03428938633327,1
обесцениваться ipf,-17.6080761409045,1.03428938633327,1
забиваться ipf,-17.6080761409045,1.03428938633327,1
извлекаться ipf,-17.6080761409045,1.03428938633327,1
узнаваться ipf,-17.6080761409045,1.03428938633327,1
улетучиваться ipf,-17.6080761409045,1.03428938633327,1
размягчать ipf,-17.6080761409045,1.03428938633327,1
пропиливать ipf,-17.6080761409045,1.03428938633327,1
грызться ipf,-17.6080761409045,1.03428938633327,1
снабжаться ipf,-17.6080761409045,1.03428938633327,1
спихивать ipf,-17.5891694863054,1.04116756663288,1
мочиться ipf,-17.5891694863054,1.04116756663288,1
умнеть ipf,-17.5891694863054,1.04116756663288,1
бубнить ipf,-1.17440462123266,1.04487326836709,1
переодеваться ipf,-12.7948745813267,1.05303122608271,1
возмещать ipf,-17.5513561771072,1.05492392723208,1
возводить ipf,-11.5790093096702,1.05743431266956,1
вынашивать ipf,-13.2906124422166,1.06571421454217,1
стихать ipf,-7.71236223749231,1.0667547663598,1
продвигаться ipf,-8.67782922141464,1.06846244968601,1
раскачиваться ipf,-5.15887052638425,1.07294030985707,1
расписываться ipf,-12.0726464649765,1.07527761387783,1
вышивать ipf,-6.65812155296144,1.07822361804747,1
грубить ipf,-13.2776907749788,1.07945547297968,1
рожать ipf,-6.80450483234565,1.08124946371944,1
приучать ipf,-14.0371649028424,1.08174725678486,1
тревожиться ipf,3.00718512462042,1.08549109052012,1
расплываться ipf,-6.62051347880247,1.08770676565232,1
лелеять ipf,-13.2662797086903,1.08976133385734,1
мяться ipf,-12.0235965725367,1.09486580020497,1
подскакивать ipf,-15.8050045105386,1.0976384691837,1
сковывать ipf,-13.3032897331722,1.11837189629663,1
расстраиваться ipf,-15.1628567510055,1.11891505580721,1
уживаться ipf,-11.9479699541404,1.12237852140338,1
высушивать ipf,-18.6725364996708,1.12595539430351,1
стариться ipf,-18.6725364996708,1.12595539430351,1
извинять ipf,-18.6800013359891,1.1291822527262,1
подслушивать ipf,-15.2548356195473,1.13935030755626,1
концентрировать ipf,-18.6347231904726,1.13971175490271,1
перебивать ipf,-13.0526891391721,1.16057860714114,1
славить ipf,-14.467380610028,1.16645780198226,1
теснить ipf,-14.3760182129731,1.17089783965105,1
схватывать ipf,-14.4471484572582,1.17346649891783,1
фотографировать ipf,-8.39066289054409,1.17642062533631,1
облизывать ipf,-14.4207769663408,1.17711782079474,1
размахиваться ipf,-18.5289533342355,1.17993448212866,1
прикрепляться ipf,-18.5289533342355,1.17993448212866,1
обесценивать ipf,-18.5289533342355,1.17993448212866,1
перераспределяться ipf,-18.5289533342355,1.17993448212866,1
загружаться ipf,-18.5289533342355,1.17993448212866,1
расщепляться ipf,-18.5289533342355,1.17993448212866,1
посягать ipf,-15.7984912543275,1.18279177095605,1
осматривать ipf,1.9042798336808,1.18449373972511,1
ссылать ipf,-14.2407031685724,1.1857368628604,1
сбиваться ipf,-2.24407743463632,1.1859700996691,1
насиживать ipf,-18.5100466796364,1.18681266242826,1
прописываться ipf,-18.5100466796364,1.18681266242826,1
набираться ipf,-7.61464969930565,1.19342308104002,1
взбираться ipf,-7.6394904570131,1.19417548879342,1
понижать ipf,-17.0406549983324,1.19443678792862,1
награждать ipf,-7.55712362948638,1.19743865525458,1
прославлять ipf,-15.4979710682607,1.19936156152862,1
втягивать ipf,-10.7977657373866,1.21142232644533,1
мочить ipf,-16.0192543284021,1.21419053413911,1
отрастать ipf,-18.43442006124,1.21432538362667,1
приставать ipf,9.08843419844494,1.22251149942578,1
грешить ipf,-11.7898296272007,1.23755613251668,1
отрабатывать ipf,-9.41943872299924,1.23934555423129,1
увлекать ipf,-11.0032111239932,1.26492483621221,1
прижиматься ipf,-5.95507120887912,1.26568631317801,1
выплывать ipf,-8.80964201448814,1.26696299626164,1
повисать ipf,-14.1977954355859,1.26766831396893,1
принуждать ipf,-14.2052602719041,1.27089517239161,1
выставляться ipf,-7.39780750669824,1.28733094927286,1
сознавать ipf,3.20554644903699,1.29460319644258,1
покушаться ipf,-14.8091564506049,1.29483385418634,1
заправлять ipf,-12.56045031281,1.29690932770664,1
загорать ipf,-11.0966126301418,1.29743917555173,1
агитировать ipf,-8.5573684361448,1.30631152354557,1
выпирать ipf,-12.2329670016241,1.30852541927656,1
предавать ipf,-14.0843555079913,1.30893739576654,1
выныривать ipf,-15.3794674688701,1.30900655599093,1
мыться ipf,7.05432923954405,1.30968893961803,1
подсаживаться ipf,-14.0278407792332,1.32529872367099,1
заваривать ipf,-13.9953299501683,1.32559267048925,1
допрашивать ipf,31.3101958157583,1.32651165691197,1
ослабевать ipf,-8.43814875622812,1.33644431421092,1
напрягаться ipf,-11.1578511733808,1.34745897645462,1
хвастаться ipf,-1.7755146291323,1.36166372374376,1
натирать ipf,-15.2433491397531,1.36621250223877,1
пробегать ipf,-1.19266135768737,1.36924544234943,1
подгонять ipf,-5.30551329004135,1.37475998851572,1
подкармливать ipf,-9.16795691843986,1.37604480895685,1
прикладываться ipf,-15.1980709942366,1.37674200441528,1
наследовать ipf,-18.5783443302571,1.38147409223101,1
отождествлять ipf,-15.0965922770716,1.3911565641704,1
закрепляться ipf,-13.8275376500006,1.39991235239495,1
молотить ipf,-15.8032926711081,1.40055016957404,1
ускользать ipf,-10.8944158659008,1.40685962077817,1
снабжать ipf,-4.06600385113403,1.40889948075687,1
освежать ipf,-15.1450441198343,1.4096620878874,1
внимать ipf,-10.9854502682756,1.41401755367134,1
переставлять ipf,-12.1753904225944,1.41621573107754,1
изумляться ipf,-13.6868430900109,1.41737161810984,1
обедать ipf,52.9300656006528,1.42208605670306,1
подтягиваться ipf,-15.0408836543355,1.42413685875909,1
отделывать ipf,-14.9644509299171,1.43503061327326,1
осыпаться ipf,-8.28087139083109,1.44673240566745,1
палить ipf,-10.9460275683391,1.4535218706248,1
углубляться ipf,-15.6922203347378,1.45423531058094,1
увольнять ipf,-9.45323038872152,1.45567824673727,1
отравлять ipf,-13.6375552367644,1.45666001370524,1
позорить ipf,-16.9297754738049,1.45811922286452,1
приподниматься ipf,-16.281438007602,1.46152983208592,1
запирать ipf,-6.03437849347417,1.46472964147628,1
взирать ipf,-13.3919101241754,1.46947526333519,1
крошить ipf,-14.9162071434993,1.47123776628464,1
вопрошать ipf,-6.46483857694198,1.4830412464817,1
замахиваться ipf,-14.9109046633661,1.48470018006558,1
пробуждаться ipf,-14.9109046633661,1.48470018006558,1
отодвигать ipf,-13.4265833094254,1.48587058872057,1
интриговать ipf,-17.4461718754005,1.48915972921672,1
откидывать ipf,-10.7347717484325,1.50834988535841,1
блюсти ipf,-14.8027672159047,1.51250684808225,1
вершить ipf,-17.0313647997238,1.51373354626291,1
остерегаться ipf,-10.6508434357035,1.51581595929453,1
разоблачать ipf,-9.6750086131684,1.51771466192896,1
напрягать ipf,-13.2081460583177,1.52479465255027,1
изводить ipf,-14.805134807129,1.52492290729153,1
удостаиваться ipf,-14.805134807129,1.52492290729153,1
катать ipf,-3.87722699773325,1.53182727272154,1
испаряться ipf,-16.7944940027023,1.53214495795197,1
намечать ipf,-14.7673214979308,1.53867926789074,1
завязывать ipf,-6.40337504144558,1.54117021831493,1
подменять ipf,-16.0622282237704,1.54302164110948,1
корчить ipf,-14.7295081887326,1.55243562848994,1
мерещиться ipf,2.85027443670621,1.55412887281164,1
налетать ipf,-2.09900749304234,1.55437975293659,1
съезжать ipf,-15.9806675022656,1.56290377425487,1
надувать ipf,-15.9942716767315,1.56948800773622,1
убиваться ipf,-15.9617608476665,1.56978195455447,1
подкладывать ipf,-10.5208644447341,1.57637928060102,1
слезать ipf,-16.7423498897949,1.57830336483516,1
распознавать ipf,-14.6538815703362,1.57994834968835,1
раздражаться ipf,0.317180948824315,1.58344816014793,1
разрываться ipf,-9.22065523876123,1.58549932116323,1
выстраиваться ipf,-9.20174858416214,1.59237750146283,1
постигать ipf,-12.5049211601741,1.59706374504241,1
прикладывать ipf,-7.67214908470503,1.60407741229433,1
расхаживать ipf,-6.2359115751111,1.60751016199166,1
осквернять ipf,-17.9306039979024,1.60963014186877,1
изумлять ipf,-15.8770600022136,1.61981577368445,1
усложнять ipf,-15.8317818566971,1.63034527586097,1
ковать ipf,-17.9953577823863,1.63215986767814,1
гадить ipf,-15.812875202098,1.63722345616057,1
стягивать ipf,-13.0411119586361,1.6372783500195,1
щупать ipf,-10.3394679701006,1.64411472902538,1
спускать ipf,-3.22434398791653,1.6448585881606,1
вытирать ipf,6.28368957416868,1.64772442036992,1
уплачивать ipf,-21.0377807480484,1.65016776986362,1
ущемлять ipf,-17.1040101810143,1.65062451352994,1
проваливаться ipf,-2.81993529526918,1.65377714300852,1
дурить ipf,-16.9801062029021,1.65515767586162,1
обогащать ipf,-17.0851035264152,1.65750269382954,1
сигналить ipf,-17.0851035264152,1.65750269382954,1
разглаживать ipf,-17.0661968718161,1.66438087412914,1
заряжаться ipf,-15.72601200046,1.67056800308692,1
пылиться ipf,-15.72601200046,1.67056800308692,1
пыжиться ipf,-15.72601200046,1.67056800308692,1
басить ipf,-15.72601200046,1.67056800308692,1
вытворять ipf,-15.72601200046,1.67056800308692,1
сражаться ipf,-0.852514206811422,1.67069932405488,1
баловать ipf,-8.43601898912678,1.67133088820809,1
пересекаться ipf,-10.2851155975276,1.67716532913347,1
клеветать ipf,-12.3083111203365,1.68396291633967,1
заселять ipf,-15.6881986912618,1.68432436368612,1
перелезать ipf,-15.6881986912618,1.68432436368612,1
пополняться ipf,-15.6692920366627,1.69120254398572,1
вмещать ipf,-17.9818717876218,1.69886932430091,1
подбегать ipf,-11.4931591217292,1.71485224927855,1
сметать ipf,-13.9884506683804,1.71637888682525,1
перестраиваться ipf,-17.571788030598,1.7317691415725,1
оживлять ipf,-16.8848003971826,1.7321163225535,1
тереться ipf,-10.1226257774932,1.73802259725822,1
пробивать ipf,-9.85090731217482,1.74451271871162,1
стучаться ipf,-4.68172937456072,1.74461992330477,1
упоминать ipf,19.0679876255398,1.74618669169956,1
закапывать ipf,-6.60606691200412,1.75242986760172,1
заставать ipf,-11.368482610893,1.7619531568041,1
утекать ipf,-16.7579615301614,1.76252795787541,1
насыпать ipf,-16.7579615301614,1.76252795787541,1
подлетать ipf,-16.7715657046272,1.76911219135675,1
стекать ipf,2.83298994774427,1.7707105762196,1
заваливать ipf,-14.019783447135,1.77234883172449,1
переписывать ipf,-12.48424524378,1.78782701353811,1
вешаться ipf,-12.4653894734339,1.79393768392261,1
развлекать ipf,-11.2739493378975,1.79634405830211,1
огорчать ipf,-7.77629712700753,1.80387314834601,1
