token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
беспокоит,беспокоить,ipf,fin,tran,sg,praes,indic,3,act
рассказывать,рассказывать,ipf,inf,tran,,,,,act
отмахивается,отмахиваться,ipf,fin,intr,sg,praes,indic,3,med
собравшись,собраться,pf,ger,intr,,praet,,,med
узнать,узнать,pf,inf,tran,,,,,act
стали,стать,pf,fin,intr,pl,praet,indic,,act
обращается,обращаться,ipf,fin,intr,sg,praes,indic,3,med
подойдёт,подойти,pf,fin,intr,sg,fut,indic,3,act
возмущённый,возмутить,pf,partcp,tran,sg,praet,,,pass
спускайтесь,спускаться,ipf,fin,intr,pl,,imper,2,med
капает,капать,ipf,fin,intr,sg,praes,indic,3,act
растерялся,растеряться,pf,fin,intr,sg,praet,indic,,med
продолжаться,продолжаться,ipf,fin,intr,sg,fut,,3,med
отвечает,отвечать,ipf,fin,intr,sg,praes,indic,3,act
купил,купить,pf,fin,tran,sg,praet,indic,,act
